# Force coefficients    
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 5.0000000000000000e+01
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
0.0478261               	4.7190453383578496e-02	-4.7741234911087352e-03	-8.9073064470171579e-03	1.4620680600776410e-02	1.5829142500596913e-01	-2.6264138755730124e-02	3.8215907292565660e-02	8.9745460910128378e-03	-2.8651200501284491e-02	2.3877077010175756e-02	1.5383777178246055e-01	-1.6274507822947770e-01
0.0521739               	4.6843172623447851e-02	-8.2067255213023257e-03	-8.5769684578901190e-03	2.1377902104152319e-02	1.5591633108687306e-01	-4.0575358573311890e-02	4.4799488415876249e-02	2.0436842075716062e-03	-4.4678721333963056e-02	3.6471995812660724e-02	1.5162784685792799e-01	-1.6020481531581812e-01
0.0565217               	4.6081446637532046e-02	-8.1401127524446948e-03	-8.0763297353984992e-03	2.2396785603344588e-02	1.4978906223602584e-01	-4.3007985015650743e-02	4.5437508922110612e-02	6.4393771542143458e-04	-4.7078041391873091e-02	3.8937928639428396e-02	1.4575089736832658e-01	-1.5382722710372509e-01
0.0608696               	4.5863826786916487e-02	-8.1171476412111240e-03	-7.5142298756478250e-03	1.9325509250289578e-02	1.4608008297532973e-01	-3.5288749114060519e-02	4.2257422643747822e-02	3.6064041431686650e-03	-3.9347322934666085e-02	3.1230175293454957e-02	1.4232296803750583e-01	-1.4983719791315364e-01
0.0652174               	4.5220137721096065e-02	-5.8394965029806220e-03	-7.1426399182776537e-03	1.3864562328981403e-02	1.4321463067532431e-01	-2.4689758541606776e-02	3.6474631189529434e-02	8.7455065315666294e-03	-2.7609506793097087e-02	2.1770010290116465e-02	1.3964331071618549e-01	-1.4678595063446312e-01
0.0695652               	4.4620967969834113e-02	-5.3748986436739036e-03	-6.5914998106094110e-03	1.3428447669492522e-02	1.3831791928969939e-01	-2.6305643937015486e-02	3.5738931654409577e-02	8.8820363154245349e-03	-2.8993093258852437e-02	2.3618194615178535e-02	1.3502216938439468e-01	-1.4161366919500409e-01
0.073913                	4.4068216310318223e-02	-4.6460181613631928e-03	-6.2896461068312716e-03	1.3376815346249869e-02	1.3521086232429574e-01	-2.5548029933569433e-02	3.5410923501408981e-02	8.6572928089092421e-03	-2.7871039014251031e-02	2.3225020852887836e-02	1.3206603927088012e-01	-1.3835568537771137e-01
0.0782609               	4.3532842430651739e-02	-5.0706286732595252e-03	-6.0926475495469892e-03	1.3937983169473683e-02	1.3363192834116491e-01	-2.6944629059442025e-02	3.5704404384799548e-02	7.8284380458521867e-03	-2.9479943396071788e-02	2.4409314722812263e-02	1.3058560456639143e-01	-1.3667825211593840e-01
0.0826087               	4.3255097569421627e-02	-4.8407534569691142e-03	-5.9851229011088480e-03	1.3324529066164492e-02	1.2970901934942022e-01	-2.4427282561126761e-02	3.4952077850875306e-02	8.3030197185463214e-03	-2.6847659289611317e-02	2.2006905832642205e-02	1.2671645789886579e-01	-1.3270158079997466e-01
0.0869565               	4.2951191292028908e-02	-3.4718673079647332e-03	-5.7708718497067706e-03	9.8744251808462191e-03	1.2897609717973807e-01	-1.6958230681746244e-02	3.1350020826860669e-02	1.1601170465168235e-02	-1.8694164335728611e-02	1.5222297027763877e-02	1.2609066125488469e-01	-1.3186153310459145e-01
0.0913043               	4.2400353391552056e-02	-3.2880887105567621e-03	-5.4667708029232098e-03	9.6926417195755139e-03	1.2615839060463974e-01	-1.8356730585547005e-02	3.0892818415351540e-02	1.1507534976200514e-02	-2.0000774940825385e-02	1.6712686230268625e-02	1.2342500520317813e-01	-1.2889177600610136e-01
0.0956522               	4.1896106214373563e-02	-3.0283325756362669e-03	-5.1497905920301224e-03	9.4647839946440052e-03	1.2327393868878664e-01	-1.8317452157375482e-02	3.0412837101830785e-02	1.1483269112542776e-02	-1.9831618445193617e-02	1.6803285869557347e-02	1.2069904339277157e-01	-1.2584883398480171e-01
0.1                     	4.1365520021722113e-02	-2.9562591970381255e-03	-5.1270711120163844e-03	9.4024979324501146e-03	1.2237910657342334e-01	-1.8015189858013449e-02	3.0085257943311169e-02	1.1280262078410942e-02	-1.9493319456532512e-02	1.6537060259494387e-02	1.1981557101741515e-01	-1.2494264212943153e-01
0.104348                	4.1219763612562389e-02	-3.0076808677608610e-03	-5.1561553142301974e-03	1.0818172422077044e-02	1.2247702334105053e-01	-2.1925375685300896e-02	3.1428054228358239e-02	9.7917093842041503e-03	-2.3429216119181327e-02	2.0421535251420465e-02	1.1989894568393543e-01	-1.2505510099816564e-01
0.108696                	4.0769024218834937e-02	-1.6509589805729892e-03	-5.0004369164836629e-03	8.7990504860452918e-03	1.2086344857829216e-01	-2.0242084910069517e-02	2.9183562595462759e-02	1.1585461623372177e-02	-2.1067564400356013e-02	1.9416605419783021e-02	1.1836323012005033e-01	-1.2336366703653399e-01
0.113043                	4.0412717775998287e-02	-1.7563484655131233e-03	-4.8519956081655583e-03	8.7923426235308102e-03	1.1870474191644556e-01	-1.8704784355013254e-02	2.8998701511529952e-02	1.1414016264468333e-02	-1.9582958587769816e-02	1.7826610122256691e-02	1.1627874411236278e-01	-1.2113073972052835e-01
0.117391                	4.0192314197348145e-02	-3.0042024450738160e-03	-5.0480137530989518e-03	9.8244474542084244e-03	1.1880449648994387e-01	-2.0055837347855352e-02	2.9920604552882497e-02	1.0271709644465648e-02	-2.1557938570392260e-02	1.8553736125318444e-02	1.1628048961339439e-01	-1.2132850336649335e-01
0.121739                	4.0012096832065754e-02	-3.5359093714607851e-03	-4.6524348867951395e-03	9.6084952449434092e-03	1.1604715940652666e-01	-1.7785873606231802e-02	2.9614543660976288e-02	1.0397553171089468e-02	-1.9553828291962193e-02	1.6017918920501410e-02	1.1372094196312908e-01	-1.1837337684992423e-01
0.126087                	3.9887428363019478e-02	-3.4360757446051039e-03	-4.5984842827852292e-03	1.0282095834549103e-02	1.1494732488813805e-01	-2.0512056588950729e-02	3.0225810016058841e-02	9.6616183469606359e-03	-2.2230094461253281e-02	1.8794018716648177e-02	1.1264808274674544e-01	-1.1724656702953067e-01
0.130435                	4.0074831369508630e-02	-5.9520044667282111e-03	-5.0114474141964363e-03	1.4223361117944977e-02	1.1684135152994321e-01	-2.6835680914432062e-02	3.4260776802699289e-02	5.8140545668093381e-03	-2.9811683147796166e-02	2.3859678681067958e-02	1.1433562782284500e-01	-1.1934707523704143e-01
0.134783                	3.9682131324277094e-02	-3.9734280643803363e-03	-4.8838408409953935e-03	1.0880289274399789e-02	1.1635668763094262e-01	-2.1395110318658071e-02	3.0721354936538336e-02	8.9607763877387579e-03	-2.3381824350848238e-02	1.9408396286467903e-02	1.1391476721044493e-01	-1.1879860805144031e-01
0.13913                 	3.9497215194414341e-02	-4.4184056582158770e-03	-4.7090579029106872e-03	1.0730475326757511e-02	1.1361798752794391e-01	-2.0317044844346523e-02	3.0479082923964680e-02	9.0181322704496591e-03	-2.2526247673454462e-02	1.8107842015238584e-02	1.1126345857648857e-01	-1.1597251647939925e-01
0.143478                	3.9390457458170339e-02	-4.0760378736348852e-03	-4.8616867191356499e-03	1.1493206968771735e-02	1.1490717945667692e-01	-2.0508350606889179e-02	3.1188435697856905e-02	8.2020217603134341e-03	-2.2546369543706622e-02	1.8470331670071737e-02	1.1247633609710909e-01	-1.1733802281624474e-01
0.147826                	3.9068689675519581e-02	-3.6438311156769469e-03	-4.7430594283447425e-03	9.1125962887793899e-03	1.1305557166236410e-01	-1.5261722316119282e-02	2.8646941126539181e-02	1.0421748548980401e-02	-1.7083637873957756e-02	1.3439806758280808e-02	1.1068404194819173e-01	-1.1542710137653647e-01
0.152174                	3.8887148790637059e-02	-4.0531091988861350e-03	-4.6263506710628646e-03	1.0457761183990590e-02	1.1351624988494802e-01	-1.9012555657773746e-02	2.9901335579309119e-02	8.9858132113279400e-03	-2.1039110257216814e-02	1.6986001058330678e-02	1.1120307454941658e-01	-1.1582942522047945e-01
0.156522                	3.8761698552596438e-02	-3.8238341609468005e-03	-4.4623172562257380e-03	9.8421281557121831e-03	1.1164139741449934e-01	-1.7224471229585342e-02	2.9222977432010404e-02	9.5387211205860360e-03	-1.9136388310058743e-02	1.5312554149111942e-02	1.0941023878638648e-01	-1.1387255604261221e-01
0.16087                 	3.8708791964474208e-02	-3.7216292557024451e-03	-4.5969486696166885e-03	1.0069898981785714e-02	1.1198972867223714e-01	-1.4673247540602664e-02	2.9424294964022817e-02	9.2844970004513899e-03	-1.6534062168453885e-02	1.2812432912751441e-02	1.0969125433742880e-01	-1.1428820300704548e-01
0.165217                	3.8807591303005422e-02	-4.9743275785390931e-03	-4.7443382880812601e-03	1.2282019816421845e-02	1.1265374625202021e-01	-1.7739644224195057e-02	3.1685815467924552e-02	7.1217758350808659e-03	-2.0226808013464603e-02	1.5252480434925511e-02	1.1028157710797958e-01	-1.1502591539606084e-01
0.169565                	3.8691643054827071e-02	-3.8351252767762252e-03	-4.7892142702666233e-03	8.8029008882223748e-03	1.1295762138524804e-01	-1.0865355846785357e-02	2.8148722415635909e-02	1.0542920639191161e-02	-1.2782918485173470e-02	8.9477932083972447e-03	1.1056301425011472e-01	-1.1535222852038135e-01
0.173913                	3.8602286459707202e-02	-1.4270551904321780e-03	-5.1147026356969747e-03	5.5639417511708714e-03	1.1385621458569654e-01	-3.9726633873238453e-03	2.4865084981024473e-02	1.3737201478682730e-02	-4.6861909825399346e-03	3.2591357921077564e-03	1.1129886326784806e-01	-1.1641356590354503e-01
0.178261                	3.8376220808844681e-02	-2.0599016750057898e-03	-5.0457473260182746e-03	7.7194326690526362e-03	1.1269797746309437e-01	-8.7185795389642141e-03	2.6907543073474975e-02	1.1468677735369704e-02	-9.7485303764671093e-03	7.6886287014613190e-03	1.1017510380008523e-01	-1.1522085112610352e-01
0.182609                	3.8219318413709374e-02	-1.9321649990333421e-03	-4.9414544156782423e-03	8.2037891937271623e-03	1.1248261210885781e-01	-1.1694434626494103e-02	2.7313448400581850e-02	1.0905870013127525e-02	-1.2660517126010774e-02	1.0728352126977432e-02	1.1001188490101868e-01	-1.1495333931669693e-01
0.186957                	3.8285751688141412e-02	-7.4214816224309069e-04	-5.1724968738173669e-03	5.5754682402492997e-03	1.1231927423940291e-01	-6.2547139999978253e-03	2.4718344084320006e-02	1.3567407603821406e-02	-6.6257880811193704e-03	5.8836399188762802e-03	1.0973302580249422e-01	-1.1490552267631160e-01
0.191304                	3.8134059158939519e-02	-1.1874102903451690e-03	-5.0602038615346666e-03	7.4246672115109002e-03	1.1085955206542410e-01	-1.3846069607630879e-02	2.6491696790980658e-02	1.1642362367958859e-02	-1.4439774752803463e-02	1.3252364462458295e-02	1.0832945013465677e-01	-1.1338965399619143e-01
