# Force coefficients    
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 5.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
0.0956522               	4.1896106214373550e+00	-3.0283325756362661e-01	-5.1497905920301223e-01	9.4647839946440027e-01	1.2327393868878662e+01	-1.8317452157375476e+00	3.0412837101830776e+00	1.1483269112542773e+00	-1.9831618445193608e+00	1.6803285869557343e+00	1.2069904339277157e+01	-1.2584883398480168e+01
0.1                     	4.1365520021722109e+00	-2.9562591970381252e-01	-5.1270711120163837e-01	9.4024979324501134e-01	1.2237910657342331e+01	-1.8015189858013445e+00	3.0085257943311170e+00	1.1280262078410941e+00	-1.9493319456532507e+00	1.6537060259494383e+00	1.1981557101741512e+01	-1.2494264212943150e+01
0.104348                	4.1219763612562383e+00	-3.0076808677608602e-01	-5.1561553142301964e-01	1.0818172422077044e+00	1.2247702334105050e+01	-2.1925375685300894e+00	3.1428054228358233e+00	9.7917093842041480e-01	-2.3429216119181326e+00	2.0421535251420462e+00	1.1989894568393540e+01	-1.2505510099816560e+01
0.108696                	4.0769024218834931e+00	-1.6509589805729888e-01	-5.0004369164836615e-01	8.7990504860452912e-01	1.2086344857829214e+01	-2.0242084910069509e+00	2.9183562595462758e+00	1.1585461623372173e+00	-2.1067564400356003e+00	1.9416605419783015e+00	1.1836323012005032e+01	-1.2336366703653397e+01
0.113043                	4.0412717775998281e+00	-1.7563484655131228e-01	-4.8519956081655574e-01	8.7923426235308100e-01	1.1870474191644554e+01	-1.8704784355013251e+00	2.8998701511529950e+00	1.1414016264468332e+00	-1.9582958587769812e+00	1.7826610122256690e+00	1.1627874411236276e+01	-1.2113073972052833e+01
0.117391                	4.0192314197348145e+00	-3.0042024450738153e-01	-5.0480137530989511e-01	9.8244474542084226e-01	1.1880449648994386e+01	-2.0055837347855348e+00	2.9920604552882493e+00	1.0271709644465650e+00	-2.1557938570392254e+00	1.8553736125318441e+00	1.1628048961339438e+01	-1.2132850336649334e+01
0.121739                	4.0012096832065751e+00	-3.5359093714607848e-01	-4.6524348867951387e-01	9.6084952449434080e-01	1.1604715940652664e+01	-1.7785873606231795e+00	2.9614543660976285e+00	1.0397553171089466e+00	-1.9553828291962188e+00	1.6017918920501402e+00	1.1372094196312906e+01	-1.1837337684992422e+01
0.126087                	3.9887428363019470e+00	-3.4360757446051032e-01	-4.5984842827852285e-01	1.0282095834549103e+00	1.1494732488813803e+01	-2.0512056588950727e+00	3.0225810016058841e+00	9.6616183469606320e-01	-2.2230094461253280e+00	1.8794018716648175e+00	1.1264808274674541e+01	-1.1724656702953064e+01
0.130435                	4.0074831369508619e+00	-5.9520044667282090e-01	-5.0114474141964349e-01	1.4223361117944975e+00	1.1684135152994319e+01	-2.6835680914432056e+00	3.4260776802699286e+00	5.8140545668093346e-01	-2.9811683147796160e+00	2.3859678681067953e+00	1.1433562782284497e+01	-1.1934707523704141e+01
0.134783                	3.9682131324277088e+00	-3.9734280643803360e-01	-4.8838408409953926e-01	1.0880289274399786e+00	1.1635668763094261e+01	-2.1395110318658066e+00	3.0721354936538328e+00	8.9607763877387581e-01	-2.3381824350848235e+00	1.9408396286467897e+00	1.1391476721044491e+01	-1.1879860805144030e+01
0.13913                 	3.9497215194414332e+00	-4.4184056582158765e-01	-4.7090579029106866e-01	1.0730475326757509e+00	1.1361798752794389e+01	-2.0317044844346519e+00	3.0479082923964675e+00	9.0181322704496569e-01	-2.2526247673454458e+00	1.8107842015238580e+00	1.1126345857648854e+01	-1.1597251647939924e+01
0.143478                	3.9390457458170332e+00	-4.0760378736348846e-01	-4.8616867191356494e-01	1.1493206968771732e+00	1.1490717945667690e+01	-2.0508350606889176e+00	3.1188435697856898e+00	8.2020217603134338e-01	-2.2546369543706617e+00	1.8470331670071733e+00	1.1247633609710908e+01	-1.1733802281624472e+01
0.147826                	3.9068689675519575e+00	-3.6438311156769465e-01	-4.7430594283447414e-01	9.1125962887793888e-01	1.1305557166236408e+01	-1.5261722316119279e+00	2.8646941126539174e+00	1.0421748548980398e+00	-1.7083637873957753e+00	1.3439806758280806e+00	1.1068404194819172e+01	-1.1542710137653645e+01
0.152174                	3.8887148790637056e+00	-4.0531091988861340e-01	-4.6263506710628632e-01	1.0457761183990588e+00	1.1351624988494798e+01	-1.9012555657773744e+00	2.9901335579309114e+00	8.9858132113279399e-01	-2.1039110257216813e+00	1.6986001058330678e+00	1.1120307454941655e+01	-1.1582942522047942e+01
0.156522                	3.8761698552596431e+00	-3.8238341609467996e-01	-4.4623172562257379e-01	9.8421281557121809e-01	1.1164139741449931e+01	-1.7224471229585339e+00	2.9222977432010397e+00	9.5387211205860345e-01	-1.9136388310058738e+00	1.5312554149111939e+00	1.0941023878638644e+01	-1.1387255604261219e+01
0.16087                 	3.8708791964474201e+00	-3.7216292557024444e-01	-4.5969486696166878e-01	1.0069898981785712e+00	1.1198972867223711e+01	-1.4673247540602661e+00	2.9424294964022812e+00	9.2844970004513883e-01	-1.6534062168453882e+00	1.2812432912751439e+00	1.0969125433742876e+01	-1.1428820300704546e+01
0.165217                	3.8807591303005418e+00	-4.9743275785390917e-01	-4.7443382880812590e-01	1.2282019816421841e+00	1.1265374625202019e+01	-1.7739644224195057e+00	3.1685815467924550e+00	7.1217758350808680e-01	-2.0226808013464601e+00	1.5252480434925511e+00	1.1028157710797956e+01	-1.1502591539606083e+01
0.169565                	3.8691643054827063e+00	-3.8351252767762245e-01	-4.7892142702666218e-01	8.8029008882223725e-01	1.1295762138524800e+01	-1.0865355846785354e+00	2.8148722415635903e+00	1.0542920639191160e+00	-1.2782918485173467e+00	8.9477932083972411e-01	1.1056301425011469e+01	-1.1535222852038132e+01
0.173913                	3.8602286459707194e+00	-1.4270551904321779e-01	-5.1147026356969738e-01	5.5639417511708700e-01	1.1385621458569652e+01	-3.9726633873238448e-01	2.4865084981024466e+00	1.3737201478682728e+00	-4.6861909825399339e-01	3.2591357921077557e-01	1.1129886326784803e+01	-1.1641356590354501e+01
0.178261                	3.8376220808844672e+00	-2.0599016750057897e-01	-5.0457473260182728e-01	7.7194326690526338e-01	1.1269797746309436e+01	-8.7185795389642129e-01	2.6907543073474969e+00	1.1468677735369703e+00	-9.7485303764671083e-01	7.6886287014613175e-01	1.1017510380008522e+01	-1.1522085112610350e+01
0.182609                	3.8219318413709371e+00	-1.9321649990333417e-01	-4.9414544156782414e-01	8.2037891937271601e-01	1.1248261210885779e+01	-1.1694434626494101e+00	2.7313448400581848e+00	1.0905870013127525e+00	-1.2660517126010773e+00	1.0728352126977430e+00	1.1001188490101868e+01	-1.1495333931669691e+01
0.186957                	3.8285751688141403e+00	-7.4214816224309046e-02	-5.1724968738173649e-01	5.5754682402492983e-01	1.1231927423940290e+01	-6.2547139999978230e-01	2.4718344084320001e+00	1.3567407603821402e+00	-6.6257880811193681e-01	5.8836399188762778e-01	1.0973302580249422e+01	-1.1490552267631157e+01
0.191304                	3.8134059158939513e+00	-1.1874102903451689e-01	-5.0602038615346656e-01	7.4246672115108980e-01	1.1085955206542407e+01	-1.3846069607630875e+00	2.6491696790980654e+00	1.1642362367958858e+00	-1.4439774752803460e+00	1.3252364462458290e+00	1.0832945013465674e+01	-1.1338965399619140e+01
0.195652                	3.8057830839256210e+00	-3.0253067699907465e-01	-4.8399007331175004e-01	8.9001219736200876e-01	1.0851689855250299e+01	-1.4832638965290565e+00	2.7929037393248191e+00	1.0128793446008018e+00	-1.6345292350285938e+00	1.3319985580295193e+00	1.0609694818594424e+01	-1.1093684891906175e+01
0.2                     	3.8102709263085424e+00	-3.3307657731216600e-01	-5.1163419224813911e-01	9.9927256270457954e-01	1.1039088844894309e+01	-1.6040645347252724e+00	2.9044080258588507e+00	9.0586290044969164e-01	-1.7706028233813553e+00	1.4375262460691896e+00	1.0783271748770240e+01	-1.1294905941018378e+01
0.204545                	3.7696822193404036e+00	-3.5157791902544727e-01	-4.7792399638172633e-01	1.0458667444554470e+00	1.0879018942033248e+01	-2.0601456006409489e+00	2.9307078541256488e+00	8.3897436521475477e-01	-2.2359345601536726e+00	1.8843566411282253e+00	1.0640056943842385e+01	-1.1117980940224111e+01
0.209091                	3.7542403152889405e+00	-3.0252352118911924e-01	-4.6832422664423484e-01	8.8658001654556140e-01	1.0807491040300377e+01	-1.8932887266830953e+00	2.7637001741900318e+00	9.9054014109890887e-01	-2.0445504872776548e+00	1.7420269660885357e+00	1.0573328926978260e+01	-1.1041653153622494e+01
0.213636                	3.7230703203608781e+00	-4.2953078827188806e-01	-4.4040837081568723e-01	1.2307935523233662e+00	1.0574840101439591e+01	-2.6044118743264399e+00	3.0923287125038055e+00	6.3074160785707289e-01	-2.8191772684623841e+00	2.3896464801904957e+00	1.0354635916031746e+01	-1.0795044286847435e+01
0.218182                	3.7378360792886864e+00	-3.8692926907614777e-01	-4.3820343767431741e-01	1.1324539419924153e+00	1.0650611105567586e+01	-2.3543041860699252e+00	3.0013719816367583e+00	7.3646409765192788e-01	-2.5477688206079989e+00	2.1608395515318515e+00	1.0431509386730427e+01	-1.0869712824404745e+01
0.222727                	3.7171850886409423e+00	-3.6207150725196358e-01	-4.3558889734836653e-01	1.0959109091605317e+00	1.0594516307276781e+01	-2.1554964817027096e+00	2.9545034534810029e+00	7.6268163515993947e-01	-2.3365322353286913e+00	1.9744607280767279e+00	1.0376721858602597e+01	-1.0812310755950964e+01
0.227273                	3.7042701308165871e+00	-3.9583994625660029e-01	-4.3228007360445991e-01	1.1741276989648968e+00	1.0576086953784600e+01	-2.2740304138917184e+00	3.0262627643731905e+00	6.7800736644339676e-01	-2.4719503870200188e+00	2.0761104407634181e+00	1.0359946916982370e+01	-1.0792226990586830e+01
0.231818                	3.6802037938853833e+00	-3.2490298749858548e-01	-4.0227192342405643e-01	1.0274661541276078e+00	1.0366508811986131e+01	-1.8570497535676298e+00	2.8675680510702994e+00	8.1263574281508388e-01	-2.0195012473169225e+00	1.6945982598183371e+00	1.0165372850274103e+01	-1.0567644773698159e+01
0.236364                	3.6680181142349593e+00	-2.8967909624916649e-01	-4.1041586033171640e-01	1.0473209546341862e+00	1.0401132878828417e+01	-2.0402522867075814e+00	2.8813300117516656e+00	7.8668810248329346e-01	-2.1850918348321646e+00	1.8954127385829982e+00	1.0195924948662558e+01	-1.0606340808994275e+01
0.240909                	3.6553252701631846e+00	-2.4459194020471511e-01	-4.0841432145283374e-01	7.9105030368974905e-01	1.0275673768634460e+01	-1.5360490800693321e+00	2.6187129387713415e+00	1.0366123313918432e+00	-1.6583450501716896e+00	1.4137531099669745e+00	1.0071466607908043e+01	-1.0479880929360878e+01
0.245455                	3.6368707288962527e+00	-2.5192813199505892e-01	-4.3528735307411709e-01	7.6604000296133545e-01	1.0353143988515543e+01	-1.3342222487984701e+00	2.5844753674094618e+00	1.0523953614867909e+00	-1.4601863147959995e+00	1.2082581828009407e+00	1.0135500311978484e+01	-1.0570787665052601e+01
